2026-07-30 18:57:59,884 | INFO    | molsanity | [stage cell_MUTAG__GAT__IntegratedGradients__random] running (a00671ec747387cd)
2026-07-30 18:57:59,915 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:58:00,313 | INFO    | molsanity | Loaded existing checkpoint gat_d5ce67978fe34ff0.pt
2026-07-30 18:58:28,880 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GAT__IntegratedGradients__random/gt_validation.pdf (+ .svg)
2026-07-30 18:58:28,893 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GAT__IntegratedGradients__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:58:28,947 | INFO    | molsanity | [cell MUTAG__GAT__IntegratedGradients__random] DONE — acc=0.55 gt_auroc=0.7085026642747231 n=20 (capped)
2026-07-30 18:58:28,952 | INFO    | molsanity | [stage cell_MUTAG__MPNN__IntegratedGradients__scaffold] running (20f5622d6b99a027)
2026-07-30 18:58:28,986 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:58:29,274 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:58:30,302 | INFO    | molsanity | Loaded existing checkpoint mpnn_b28164e08cc2ab85.pt
2026-07-30 18:58:51,999 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__MPNN__IntegratedGradients__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:58:52,016 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__MPNN__IntegratedGradients__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:58:52,088 | INFO    | molsanity | [cell MUTAG__MPNN__IntegratedGradients__scaffold] DONE — acc=0.75 gt_auroc=0.6722368970898384 n=20 (capped)
2026-07-30 18:58:52,095 | INFO    | molsanity | [stage cell_MUTAG__MPNN__IntegratedGradients__random] running (d06a084afa663d8c)
2026-07-30 18:58:52,155 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:58:53,103 | INFO    | molsanity | Loaded existing checkpoint mpnn_5fb3b98dab354a6c.pt
2026-07-30 18:59:12,827 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__MPNN__IntegratedGradients__random/gt_validation.pdf (+ .svg)
2026-07-30 18:59:12,839 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__MPNN__IntegratedGradients__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:59:12,880 | INFO    | molsanity | [cell MUTAG__MPNN__IntegratedGradients__random] DONE — acc=0.75 gt_auroc=0.16441819482260658 n=20 (capped)
2026-07-30 18:59:12,886 | INFO    | molsanity | [stage cell_MUTAG__AttentiveFP__IntegratedGradients__scaffold] running (8eaa9e083770f17b)
2026-07-30 18:59:12,920 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:59:13,204 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:59:13,986 | INFO    | molsanity | Loaded existing checkpoint attentivefp_edbf3eb9f79c130a.pt
2026-07-30 18:59:53,584 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__AttentiveFP__IntegratedGradients__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:59:53,596 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__AttentiveFP__IntegratedGradients__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:59:53,634 | INFO    | molsanity | [cell MUTAG__AttentiveFP__IntegratedGradients__scaffold] DONE — acc=0.80 gt_auroc=0.032861952861952856 n=20 (capped)
2026-07-30 18:59:53,639 | INFO    | molsanity | [stage cell_MUTAG__AttentiveFP__IntegratedGradients__random] running (a2f9418a8676359f)
2026-07-30 18:59:53,667 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:59:54,214 | INFO    | molsanity | Loaded existing checkpoint attentivefp_82744bcba3c1d6f0.pt
2026-07-30 19:00:31,632 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__AttentiveFP__IntegratedGradients__random/gt_validation.pdf (+ .svg)
2026-07-30 19:00:31,643 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__AttentiveFP__IntegratedGradients__random/case_molecule.svg (GT atoms: [17, 18, 19])
